,date,up,keep,down,predindex,hs300
193,2013-09-20 00:00:00,4817,4430,6322,-0.13511087171200287,2472.29
194,2013-09-27 00:00:00,3181,2780,3687,-0.07367501456027956,2394.97
195,2013-10-04 00:00:00,1839,1880,1939,-0.026469031233456855,2441.81
196,2013-10-11 00:00:00,1658,1670,1728,-0.02067336089781453,2468.51
197,2013-10-18 00:00:00,2063,2034,2036,0.006586972432300561,2426.05
198,2013-10-25 00:00:00,3142,3407,3381,-0.036639583013950636,2368.56
199,2013-11-01 00:00:00,6258,6920,7538,-0.09278051609162076,2384.96
200,2013-11-08 00:00:00,6783,7265,8482,-0.11130036030134294,2307.95
201,2013-11-15 00:00:00,6318,6683,8128,-0.12529419908625225,2350.73
202,2013-11-22 00:00:00,5843,5879,7517,-0.1252994011976048,2397.96
203,2013-11-29 00:00:00,3142,2407,3920,-0.11016709147550269,2438.94
204,2013-12-06 00:00:00,2470,2037,2888,-0.07801418439716312,2452.29
205,2013-12-13 00:00:00,2950,2348,3469,-0.08085371553201433,2406.64
206,2013-12-20 00:00:00,3352,2542,3804,-0.06316377864728899,2278.14
207,2013-12-27 00:00:00,3596,2688,3974,-0.049933949801849405,2303.48
208,2014-01-03 00:00:00,3526,2642,3980,-0.06048494537703171,2290.78
209,2014-01-10 00:00:00,3252,2446,3556,-0.04465334900117509,2204.85
210,2014-01-17 00:00:00,3082,2549,3406,-0.0499383477188656,2178.49
211,2014-01-24 00:00:00,3263,2499,3516,-0.03732113881103408,2245.68
212,2014-01-31 00:00:00,3361,2495,3631,-0.038615560640732266,2212.48
213,2014-02-07 00:00:00,2625,1950,2827,-0.037050623624358035,2212.48
214,2014-02-14 00:00:00,2694,1760,3138,-0.07613168724279835,2295.57
215,2014-02-21 00:00:00,2879,1837,3634,-0.11592200214954707,2264.29
216,2014-02-28 00:00:00,2887,1797,3849,-0.1428147268408551,2178.97
217,2014-03-07 00:00:00,4221,2691,5798,-0.15740093821738696,2168.36
218,2014-03-14 00:00:00,4434,2867,6100,-0.15815454718055819,2122.84
219,2014-03-21 00:00:00,4326,2805,5761,-0.14226231783483692,2158.8
220,2014-03-28 00:00:00,4794,2803,6227,-0.13002449868432991,2151.97
221,2014-04-04 00:00:00,4741,2518,6065,-0.12252452341291875,2185.47
222,2014-04-11 00:00:00,4706,2613,5983,-0.1194686125923847,2270.67
223,2014-04-18 00:00:00,4774,2920,6128,-0.12419739497339938,2224.48
224,2014-04-25 00:00:00,4728,3808,6218,-0.13612278457884158,2167.83
225,2014-05-02 00:00:00,4708,6260,6306,-0.14508806972943528,2156.47
226,2014-05-09 00:00:00,4830,6418,6361,-0.13680636225538378,2133.91
227,2014-05-16 00:00:00,4217,6063,5681,-0.14790866841786218,2145.95
228,2014-05-23 00:00:00,3664,5272,4760,-0.13010446343779677,2148.41
229,2014-05-30 00:00:00,2368,2255,2937,-0.10725730442978322,2156.46
230,2014-06-06 00:00:00,1945,2042,2454,-0.11570811548079109,2134.72
231,2014-06-13 00:00:00,1740,1978,2137,-0.1023987619293268,2176.24
232,2014-06-20 00:00:00,1793,2058,2088,-0.0760113372842051,2136.73
233,2014-06-27 00:00:00,2069,2222,2265,-0.04522381172127365,2150.26
234,2014-07-04 00:00:00,2482,2452,2653,-0.033300876338851024,2178.7
235,2014-07-11 00:00:00,2638,2514,2811,-0.03174894476050651,2148.01
236,2014-07-18 00:00:00,2867,2777,3080,-0.035816378005717166,2164.14
237,2014-07-25 00:00:00,2757,2787,3032,-0.04750388668163759,2260.45
238,2014-08-01 00:00:00,2848,3107,3059,-0.03572033180971729,2329.4
